"id","demo_gender","demo_age","demo_age_group","demo_country","demo_education","pre_news_frequency","pre_platform","pre_favourite_topic_1","pre_least_favourite_topic_1","pre_favourite_topic_2","pre_least_favourite_topic_2","pre_enjoy_topic_1","pre_enjoy_topic_2","pre_avoid_topic_1","pre_avoid_topic_2","pre_attention_check","pre_avoid_news","pre_avoid_reasons","pre_avoid_other","explanation_pair"
177,"Male",35,"35–44","Ohio","High school","Several times a day","Social media","International News","Public Health & Health Policy","Tech","Personal Health & Wellbeing",6,5,2,2,"BBC","occasionally","[""too_much"", ""not_trust""]","","Breaks topic into key points without unnecessary details | "
178,"Male",29,"25–34","Rhode Island","Master's degree","Several times a day","Social media","Business & Economics","Public Health & Health Policy","Tech","Personal Health & Wellbeing",7,6,6,6,"BBC","regularly","[""too_much"", ""not_trust""]","","Focuses on solutions and constructive ways forward | Trending right now"
179,"Female",26,"25–34","Ohio","Bachelor's degree","Several times a week","Social media","Crime","Finance","Entertainment","Science",6,6,6,6,"BBC","regularly","[""not_relevant""]","","Focuses on solutions and constructive ways forward | "
180,"Male",20,"16–24","Massachusetts","Some college","Several times a day","Social media","Politics","Finance","Sports","Lifestyle",7,7,2,3,"BBC","occasionally","[""not_relevant"", ""not_trust""]","","Trending right now | "
181,"Female",33,"25–34","New York","Bachelor's degree","Several times a day","Social media","Public Health & Health Policy","Politics","Lifestyle","Tech",6,7,7,5,"BBC","particular_topics","[""negative_mood"", ""not_relevant""]","","Fact-checked for accuracy | Recommended by 82% of readers your age in your region"
182,"Non-binary",28,"25–34","Arizona","High school","Once a day","Social media","Crime","Politics","Entertainment","Sports",5,6,7,7,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
183,"Male",32,"25–34","California","Master's degree","Several times a week","News websites","International News","Crime","Lifestyle","Entertainment",6,6,4,5,"BBC","occasionally","[""not_relevant""]","","Fact-checked for accuracy | Focuses on solutions and constructive ways forward"
184,"Prefer not to say",30,"25–34","California","Prefer not to say","About once or twice a month","News websites","International News","Politics","Personal Health & Wellbeing","Sports",4,4,4,4,"BBC","particular_topics","[""too_much"", ""not_relevant""]","","Fact-checked for accuracy | Trending right now"
185,"Female",35,"35–44","North Carolina","High school","Several times a day","News websites","Politics","Finance","Lifestyle","Sports",6,7,4,6,"BBC","occasionally","[""too_much""]","","Fact-checked for accuracy | "
186,"Female",28,"25–34","Georgia","High school","Several times a week","News aggregators (e.g. Google News, Apple News)","Crime","Finance","Entertainment","Sports",7,7,6,6,"BBC","occasionally","[""too_much""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
187,"Male",32,"25–34","Virginia","Master's degree","Several times a day","Social media","International News","Crime","Entertainment","Lifestyle",4,5,4,3,"BBC","regularly","[""negative_mood""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
